keyword,const_keyword,relation_keyword,runtime_only,not_included
or,38,0,0,607
module,0,0,4,13
not,60,2,0,226
is to,2,0,0,27
relationship,0,0,11,7
variables,0,0,19,140
process value,0,0,2,5
currently,1,0,1,30
references,0,5,0,94
grouped under,1,0,0,0
real module,0,0,1,3
undefined,0,0,1,0
container,8,0,10,11
where,1,0,0,50
shall be used,1,0,0,24
to map,0,0,0,7
allow,4,0,0,9
false,5,0,16,14
one or more,29,0,0,3
bit,4,0,1,5
top level,1,0,0,2
is an,1,0,0,67
jobs,0,0,8,5
concrete,33,0,0,19
fixed,4,0,0,1
non-hierachical,0,0,0,0
needed,1,0,0,26
time,13,0,0,70
provided directly,1,0,0,0
describe,0,14,0,11
provides,0,206,1,101
tagged,0,0,1,0
three,6,0,0,7
optional,37,0,1,77
container folders,0,0,1,0
first time,1,0,0,1
writeable,4,0,0,7
opposite,1,0,0,0
established,0,0,2,5
number of,10,0,0,74
either,13,0,0,31
related,0,8,2,45
timers,0,0,1,1
available mode,0,0,1,0
subtybe,0,0,0,0
no more,1,0,0,1
structuring,1,0,0,1
calling,0,0,3,26
shall not provide,0,1,0,0
independent,6,0,0,8
generate,0,3,0,10
data points,0,0,1,4
set to,1,0,2,32
ws_cur_mode,0,0,1,0
supported modes,0,0,1,0
apply to,1,0,0,3
null,8,0,0,2
after,21,0,0,49
would,7,0,0,25
probides,0,0,0,0
host,0,0,1,2
model,0,0,5,140
timestamped,1,0,0,0
coming from,1,0,0,1
output,9,0,3,23
numerical,1,0,0,1
when,18,0,0,115
two,22,0,0,38
available,1,0,9,81
atuomatic,0,0,0,0
contained,1,0,0,5
subtyping,0,1,0,1
close,0,0,1,4
writes,0,0,3,6
limit,2,0,0,4
error,1,0,26,69
belongs,0,3,0,16
folders,1,0,1,6
full,2,0,0,1
guid,3,0,0,0
extension,1,0,0,4
defines,0,124,0,93
reciprocal,2,0,0,0
transitioning,0,1,0,3
itagnameplate,0,0,0,0
at some point,2,0,0,0
icallibrationtype,0,0,0,0
replaced,4,0,0,3
must be used,3,0,0,0
profile,0,0,2,20
one-to-one,1,0,0,0
matrix,5,0,0,1
errors,1,0,2,10
supertype,4,1,1,2
transitions,1,4,12,50
does not,4,0,0,54
hierarchical,5,0,0,13
haspninterface,0,1,0,0
ws_cur_prog,0,0,1,0
must be specified,1,0,0,0
starting point,1,0,0,0
how many,2,0,0,2
unit,9,0,12,66
more than once,2,0,0,0
modules,0,0,5,5
environment,0,0,1,10
binds,0,2,0,0
written,0,0,2,8
copy,1,0,0,3
bad code,1,0,0,0
directly,30,0,0,32
affect,2,0,0,2
copied,2,0,0,0
event,0,0,20,71
continuous,0,0,4,9
zero point,1,0,0,2
server,0,0,96,111
heartbeat,0,0,4,0
string,27,0,0,20
sequence,9,0,2,15
entities,0,0,1,0
invoked on,0,0,1,0
match,12,0,0,8
differentiation,1,0,0,0
need to implement,1,0,0,0
in case,3,0,0,13
ws version,0,0,1,0
asset verification,0,0,1,1
shall persist,1,0,0,0
identifies,0,2,0,3
published,0,0,1,7
can provide,1,0,0,4
connections,0,0,21,24
names,5,0,0,17
exactly,4,0,0,3
other,7,0,1,97
remote,0,0,3,2
option,1,0,0,4
step,0,0,2,21
unambiguously,8,0,0,6
setting,0,0,1,7
uniquely identify,0,0,0,2
is generated,1,0,0,0
process variables,0,0,1,6
argument,1,0,4,32
status code,0,0,1,1
send,1,0,7,6
localizedtext,3,0,0,10
datatype,1,0,0,51
neumeric,0,0,0,0
reflect,1,0,0,6
shall match,1,0,0,5
same as,2,0,0,7
signaled,0,0,2,0
